Year,Month,MurderRate,Arrested,DomesticViolence,Labor Force,Labor Force Participation Rate,Employed,Employment Participation Rate,Unemployed,Unemployment Rate,U.S. Rate,President,Govenor,dum_President,dum_Govenor
2010,4,46,18,4,"6,654,700",67.3,"5,932,900",60.0,"721,900",10.8,9.9,Democrat,Democrat,1,1
2010,5,46,22,8,"6,645,600",67.2,"5,943,500",60.1,"702,200",10.6,9.6,Democrat,Democrat,1,1
2010,6,49,24,2,"6,631,700",67.1,"5,948,800",60.1,"682,900",10.3,9.4,Democrat,Democrat,1,1
2010,7,42,18,1,"6,618,600",66.9,"5,950,400",60.1,"668,200",10.1,9.4,Democrat,Democrat,1,1
2010,8,57,25,3,"6,609,400",66.8,"5,951,000",60.1,"658,400",10.0,9.5,Democrat,Democrat,1,1
2010,9,31,17,2,"6,603,100",66.6,"5,951,500",60.1,"651,600",9.9,9.5,Democrat,Democrat,1,1
2010,10,36,16,1,"6,598,100",66.6,"5,952,900",60.0,"645,100",9.8,9.4,Democrat,Democrat,1,1
2010,11,33,15,5,"6,591,500",66.5,"5,954,500",60.0,"637,000",9.7,9.8,Democrat,Democrat,1,1
2011,1,28,14,3,"6,573,500",66.2,"5,952,800",60.0,"620,700",9.4,9.1,Democrat,Democrat,1,1
2011,2,24,17,2,"6,566,800",66.1,"5,949,600",59.9,"617,200",9.4,9.0,Democrat,Democrat,1,1
2011,4,30,11,1,"6,563,300",66.0,"5,938,800",59.8,"624,500",9.5,9.1,Democrat,Democrat,1,1
2011,5,38,15,2,"6,569,300",66.1,"5,933,300",59.7,"636,000",9.7,9.0,Democrat,Democrat,1,1
2011,6,45,19,3,"6,579,900",66.1,"5,930,700",59.6,"649,200",9.9,9.1,Democrat,Democrat,1,1
2011,9,40,17,1,"6,611,000",66.4,"5,949,300",59.7,"661,700",10.0,9.0,Democrat,Democrat,1,1
2011,10,44,16,3,"6,611,800",66.3,"5,960,200",59.8,"651,600",9.9,8.8,Democrat,Democrat,1,1
2011,11,37,18,2,"6,605,800",66.3,"5,969,800",59.9,"636,000",9.6,8.6,Democrat,Democrat,1,1
2011,12,38,18,1,"6,594,300",66.1,"5,976,400",59.9,"617,900",9.4,8.5,Democrat,Democrat,1,1
2012,1,43,19,7,"6,581,100",66.0,"5,979,800",59.9,"601,300",9.1,8.3,Democrat,Democrat,1,1
2012,2,28,9,1,"6,571,200",65.9,"5,981,300",59.9,"589,900",9.0,8.3,Democrat,Democrat,1,1
2012,3,53,33,3,"6,567,000",65.8,"5,981,300",59.9,"585,700",8.9,8.2,Democrat,Democrat,1,1
2012,4,41,17,2,"6,567,400",65.8,"5,980,400",59.9,"587,000",8.9,8.2,Democrat,Democrat,1,1
2012,5,50,26,5,"6,571,500",65.8,"5,981,000",59.9,"590,500",9.0,8.2,Democrat,Democrat,1,1
2012,6,49,30,6,"6,577,700",65.8,"5,984,700",59.9,"593,000",9.0,8.2,Democrat,Democrat,1,1
2012,7,50,25,2,"6,584,000",65.9,"5,991,600",60.0,"592,500",9.0,8.2,Democrat,Democrat,1,1
2012,8,56,22,2,"6,590,100",65.9,"5,999,600",60.0,"590,600",9.0,8.1,Democrat,Democrat,1,1
2012,9,44,14,2,"6,596,100",65.9,"6,006,000",60.0,"590,000",8.9,7.8,Democrat,Democrat,1,1
2012,11,39,12,3,"6,598,000",65.9,"6,001,800",60.0,"596,200",9.0,7.7,Democrat,Democrat,1,1
2012,12,25,8,3,"6,592,000",65.8,"5,990,700",59.8,"601,400",9.1,7.9,Democrat,Democrat,1,1
2013,1,41,12,5,"6,582,500",65.7,"5,976,600",59.7,"605,900",9.2,8.0,Democrat,Democrat,1,1
2013,2,14,7,2,"6,571,900",65.6,"5,963,500",59.5,"608,400",9.3,7.7,Democrat,Democrat,1,1
2013,3,17,10,2,"6,563,000",65.5,"5,955,200",59.4,"607,800",9.3,7.5,Democrat,Democrat,1,1
2013,4,25,11,2,"6,558,400",65.5,"5,953,700",59.4,"604,700",9.2,7.6,Democrat,Democrat,1,1
2013,5,47,22,3,"6,556,900",65.4,"5,955,700",59.4,"601,200",9.2,7.5,Democrat,Democrat,1,1
2013,6,45,18,1,"6,556,100",65.4,"5,957,300",59.4,"598,800",9.1,7.5,Democrat,Democrat,1,1
2013,7,47,19,3,"6,553,800",65.3,"5,956,600",59.4,"597,200",9.1,7.3,Democrat,Democrat,1,1
2013,8,51,24,5,"6,547,600",65.3,"5,954,200",59.4,"593,400",9.1,7.2,Democrat,Democrat,1,1
2013,9,43,23,4,"6,538,500",65.2,"5,952,800",59.3,"585,700",9.0,7.2,Democrat,Democrat,1,1
2013,10,33,11,2,"6,531,300",65.1,"5,955,000",59.3,"576,300",8.8,7.2,Democrat,Democrat,1,1
2013,11,28,13,3,"6,529,000",65.0,"5,962,800",59.4,"566,200",8.7,6.9,Democrat,Democrat,1,1
2013,12,38,17,1,"6,530,500",65.0,"5,975,200",59.5,"555,300",8.5,6.7,Democrat,Democrat,1,1
2014,1,20,13,3,"6,535,400",65.1,"5,993,100",59.7,"542,400",8.3,6.6,Democrat,Democrat,1,1
2014,2,21,13,2,"6,534,800",65.1,"6,007,800",59.8,"526,900",8.1,6.7,Democrat,Democrat,1,1
2014,4,37,22,4,"6,523,300",64.9,"6,029,700",60.0,"493,600",7.6,6.2,Democrat,Democrat,1,1
2014,5,41,19,2,"6,514,300",64.8,"6,037,400",60.1,"476,900",7.3,6.3,Democrat,Democrat,1,1
2014,6,37,16,3,"6,507,900",64.8,"6,046,800",60.2,"461,100",7.1,6.1,Democrat,Democrat,1,1
2014,7,38,17,1,"6,505,100",64.7,"6,057,900",60.3,"447,200",6.9,6.2,Democrat,Democrat,1,1
2014,8,48,14,2,"6,505,600",64.7,"6,069,700",60.4,"435,900",6.7,6.1,Democrat,Democrat,1,1
2014,9,46,22,4,"6,507,200",64.7,"6,080,700",60.5,"426,500",6.6,5.9,Democrat,Democrat,1,1
2014,10,37,18,5,"6,505,600",64.7,"6,088,900",60.6,"416,700",6.4,5.7,Democrat,Democrat,1,1
2014,11,39,10,3,"6,498,900",64.6,"6,092,600",60.6,"406,300",6.3,5.8,Democrat,Democrat,1,1
2014,12,39,13,4,"6,490,600",64.5,"6,093,200",60.6,"397,400",6.1,5.6,Democrat,Democrat,1,1
2015,1,30,11,1,"6,479,500",64.4,"6,088,300",60.5,"391,300",6.0,5.7,Democrat,Republican,1,0
2015,2,20,9,5,"6,478,600",64.4,"6,089,800",60.6,"388,800",6.0,5.5,Democrat,Republican,1,0
2015,3,35,16,3,"6,483,500",64.5,"6,094,900",60.6,"388,600",6.0,5.4,Democrat,Republican,1,0
2015,4,36,16,4,"6,492,400",64.6,"6,103,400",60.7,"388,900",6.0,5.4,Democrat,Republican,1,0
2015,5,50,23,6,"6,501,200",64.7,"6,113,000",60.8,"388,200",6.0,5.6,Democrat,Republican,1,0
2015,6,49,19,3,"6,506,600",64.7,"6,120,500",60.9,"386,000",5.9,5.3,Democrat,Republican,1,0
2015,7,57,25,5,"6,508,800",64.7,"6,125,400",60.9,"383,500",5.9,5.2,Democrat,Republican,1,0
2015,8,55,20,2,"6,510,100",64.8,"6,128,200",61.0,"382,000",5.9,5.1,Democrat,Republican,1,0
2015,9,65,23,2,"6,512,900",64.8,"6,131,000",61.0,"381,900",5.9,5.0,Democrat,Republican,1,0
2015,10,32,9,3,"6,521,000",64.9,"6,136,800",61.0,"384,100",5.9,5.0,Democrat,Republican,1,0
2015,11,39,11,2,"6,535,500",65.0,"6,146,400",61.1,"389,100",6.0,5.1,Democrat,Republican,1,0
2015,12,34,12,1,"6,552,800",65.2,"6,157,500",61.3,"395,300",6.0,5.0,Democrat,Republican,1,0
2016,1,54,19,3,"6,567,800",65.3,"6,167,600",61.4,"400,200",6.1,4.9,Democrat,Republican,1,0
2016,2,47,25,4,"6,576,700",65.4,"6,174,300",61.4,"402,400",6.1,4.9,Democrat,Republican,1,0
2016,3,45,17,2,"6,577,600",65.5,"6,177,000",61.5,"400,700",6.1,5.0,Democrat,Republican,1,0
2016,4,40,17,3,"6,571,800",65.4,"6,175,800",61.5,"396,000",6.0,5.0,Democrat,Republican,1,0
2016,5,69,20,6,"6,562,500",65.3,"6,172,200",61.4,"390,400",5.9,4.8,Democrat,Republican,1,0
2016,6,80,32,3,"6,551,700",65.2,"6,167,300",61.4,"384,400",5.9,4.9,Democrat,Republican,1,0
2016,7,70,26,4,"6,540,600",65.1,"6,162,300",61.3,"378,300",5.8,4.8,Democrat,Republican,1,0
2016,8,96,28,4,"6,530,300",65.0,"6,157,300",61.3,"373,000",5.7,4.9,Democrat,Republican,1,0
2016,10,83,21,5,"6,512,500",64.8,"6,147,100",61.2,"365,300",5.6,4.9,Democrat,Republican,1,0
2016,11,80,21,2,"6,502,600",64.7,"6,143,600",61.1,"359,000",5.5,4.7,Democrat,Republican,1,0
2016,12,59,19,4,"6,492,900",64.6,"6,142,700",61.1,"350,200",5.4,4.7,Democrat,Republican,1,0
2017,3,42,10,3,"6,473,700",64.5,"6,149,100",61.2,"324,600",5.0,4.4,Republican,Republican,0,0
2017,4,49,17,3,"6,472,100",64.4,"6,151,200",61.3,"320,800",5.0,4.4,Republican,Republican,0,0
2017,5,57,12,3,"6,473,300",64.5,"6,153,900",61.3,"319,500",4.9,4.4,Republican,Republican,0,0
2017,6,86,29,7,"6,476,700",64.5,"6,156,900",61.3,"319,900",4.9,4.3,Republican,Republican,0,0
2017,7,76,19,4,"6,481,300",64.6,"6,160,300",61.4,"321,000",5.0,4.3,Republican,Republican,0,0
2017,8,58,16,2,"6,484,100",64.6,"6,163,800",61.4,"320,300",4.9,4.4,Republican,Republican,0,0
2017,9,61,17,2,"6,483,600",64.6,"6,167,000",61.4,"316,600",4.9,4.2,Republican,Republican,0,0
2017,10,60,16,5,"6,480,400",64.6,"6,170,000",61.5,"310,400",4.8,4.1,Republican,Republican,0,0
2017,11,41,11,3,"6,475,000",64.5,"6,172,000",61.5,"303,000",4.7,4.2,Republican,Republican,0,0
2017,12,39,9,1,"6,468,700",64.5,"6,173,900",61.5,"294,900",4.6,4.1,Republican,Republican,0,0
2018,1,43,21,2,"6,464,100",64.4,"6,176,200",61.6,"287,900",4.5,4.1,Republican,Republican,0,0
2018,2,43,21,5,"6,463,100",64.5,"6,179,400",61.6,"283,700",4.4,4.1,Republican,Republican,0,0
2018,3,34,12,1,"6,464,600",64.5,"6,182,800",61.7,"281,800",4.4,4.0,Republican,Republican,0,0
2018,4,43,21,5,"6,465,200",64.5,"6,184,600",61.7,"280,600",4.3,4.0,Republican,Republican,0,0
2018,5,54,17,4,"6,463,600",64.5,"6,184,100",61.7,"279,500",4.3,3.8,Republican,Republican,0,0
2018,6,57,17,2,"6,460,600",64.5,"6,182,600",61.7,"278,000",4.3,4.0,Republican,Republican,0,0
2018,7,63,19,2,"6,457,500",64.5,"6,181,700",61.7,"275,800",4.3,3.8,Republican,Republican,0,0
2018,8,58,19,6,"6,457,100",64.5,"6,182,600",61.7,"274,500",4.3,3.8,Republican,Republican,0,0
2018,10,59,21,4,"6,465,800",64.6,"6,189,700",61.8,"276,100",4.3,3.8,Republican,Republican,0,0
2018,11,47,21,9,"6,472,200",64.6,"6,193,200",61.8,"279,000",4.3,3.7,Republican,Republican,0,0
2018,12,44,17,6,"6,476,500",64.7,"6,194,300",61.9,"282,200",4.4,3.9,Republican,Republican,0,0
2019,1,23,9,3,"6,475,800",64.7,"6,192,400",61.9,"283,300",4.4,4.0,Republican,Democrat,0,1
2019,2,25,8,3,"6,469,300",64.6,"6,188,000",61.8,"281,300",4.3,3.8,Republican,Democrat,0,1
2019,3,36,14,2,"6,460,200",64.6,"6,183,400",61.8,"276,800",4.3,3.8,Republican,Democrat,0,1
2019,4,60,14,2,"6,452,200",64.5,"6,181,200",61.8,"271,000",4.2,3.6,Republican,Democrat,0,1
2019,5,54,19,4,"6,447,000",64.5,"6,182,400",61.8,"264,600",4.1,3.6,Republican,Democrat,0,1
2019,6,52,11,2,"6,445,200",64.5,"6,186,700",61.9,"258,400",4.0,3.7,Republican,Democrat,0,1
2019,7,44,8,3,"6,444,800",64.5,"6,192,700",61.9,"252,200",3.9,3.7,Republican,Democrat,0,1
2019,8,51,10,2,"6,442,900",64.4,"6,197,000",62.0,"245,900",3.8,3.7,Republican,Democrat,0,1
2019,9,50,5,2,"6,439,700",64.4,"6,199,400",62.0,"240,300",3.7,3.5,Republican,Democrat,0,1
2019,10,40,11,2,"6,435,500",64.4,"6,199,300",62.0,"236,200",3.7,3.6,Republican,Democrat,0,1
2019,11,34,10,2,"6,433,200",64.4,"6,197,600",62.0,"235,600",3.7,3.5,Republican,Democrat,0,1
2019,12,33,9,1,"6,433,000",64.4,"6,196,800",62.0,"236,200",3.7,3.5,Republican,Democrat,0,1
2020,1,35,14,3,"6,417,200",64.2,"6,189,400",61.9,"227,800",3.5,3.6,Republican,Democrat,0,1
2020,2,38,11,1,"6,398,700",64.1,"6,179,900",61.9,"218,800",3.4,3.5,Republican,Democrat,0,1
2020,3,27,3,3,"6,327,900",63.4,"6,035,600",60.4,"292,300",4.6,4.4,Republican,Democrat,0,1
